"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","119","","randomImage.spec.js","","","","Validate image URL in response",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","111","","imageByBreed.spec.js","","","","Validate return with invalid breed",""
"passed","Fri Jan 31 02:27:21 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","484","","breedsListAll.spec.js","","","","Validate API response structure",""
"passed","Fri Jan 31 02:27:21 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","685","","imageByBreed.spec.js","","","","Validate API response structure for breed images",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","112","","imageByBreed.spec.js","","","","Validate all returned URLs are valid image links for breed",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","111","","breedsListAll.spec.js","","","","Validate retriever contains golden",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","121","","randomImage.spec.js","","","","Validate successful API response",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","105","","imageByBreed.spec.js","","","","Validate at least one image is returned for breed",""
"passed","Fri Jan 31 02:27:22 UTC 2025","Fri Jan 31 02:27:22 UTC 2025","112","","breedsListAll.spec.js","","","","Validate breeds list is not empty",""
