"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","114","","breedsListAll.spec.js","","","","Validate breeds list is not empty",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","139","","randomImage.spec.js","","","","Validate successful API response",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","125","","randomImage.spec.js","","","","Validate image URL in response",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","118","","imageByBreed.spec.js","","","","Validate at least one image is returned for breed",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","128","","breedsListAll.spec.js","","","","Validate retriever contains golden",""
"passed","Fri Jan 31 02:38:45 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","584","","breedsListAll.spec.js","","","","Validate API response structure",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","273","","imageByBreed.spec.js","","","","Validate all returned URLs are valid image links for breed",""
"passed","Fri Jan 31 02:38:45 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","578","","imageByBreed.spec.js","","","","Validate API response structure for breed images",""
"passed","Fri Jan 31 02:38:46 GMT 2025","Fri Jan 31 02:38:46 GMT 2025","115","","imageByBreed.spec.js","","","","Validate return with invalid breed",""
