"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:03 GMT 2025","369","","imageByBreed.spec.js","","","","Validate all returned URLs are valid image links for breed",""
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","127","","breedsListAll.spec.js","","","","Validate retriever contains golden",""
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","132","","breedsListAll.spec.js","","","","Validate breeds list is not empty",""
"passed","Fri Jan 31 02:11:01 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","587","","imageByBreed.spec.js","","","","Validate API response structure for breed images",""
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","127","","imageByBreed.spec.js","","","","Validate at least one image is returned for breed",""
"passed","Fri Jan 31 02:11:03 GMT 2025","Fri Jan 31 02:11:03 GMT 2025","125","","imageByBreed.spec.js","","","","Validate return with invalid breed",""
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:03 GMT 2025","175","","randomImage.spec.js","","","","Validate image URL in response",""
"passed","Fri Jan 31 02:11:01 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","601","","breedsListAll.spec.js","","","","Validate API response structure",""
"passed","Fri Jan 31 02:11:02 GMT 2025","Fri Jan 31 02:11:02 GMT 2025","141","","randomImage.spec.js","","","","Validate successful API response",""
