"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","147","","breedsListAll.spec.js","","","","Validate retriever contains golden",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:37 GMT 2025","148","","randomImage.spec.js","","","","Validate image URL in response",""
"passed","Thu Feb 06 21:17:37 GMT 2025","Thu Feb 06 21:17:37 GMT 2025","161","","imageByBreed.spec.js","","","","Validate return with invalid breed",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:37 GMT 2025","276","","imageByBreed.spec.js","","","","Validate all returned URLs are valid image links for breed",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","531","","imageByBreed.spec.js","","","","Validate API response structure for breed images",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","422","","breedsListAll.spec.js","","","","Validate API response structure",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","158","","randomImage.spec.js","","","","Validate successful API response",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","151","","breedsListAll.spec.js","","","","Validate breeds list is not empty",""
"passed","Thu Feb 06 21:17:36 GMT 2025","Thu Feb 06 21:17:36 GMT 2025","269","","imageByBreed.spec.js","","","","Validate at least one image is returned for breed",""
